period_date,period_type,source_file,bulletin_period,npl_total_mn_azn,npl_business_mn_azn,npl_consumer_mn_azn,npl_mortgage_mn_azn,country_name,country_iso,source_name,load_timestamp
2021-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,747.96612139728,0.05116344396492575,0.04059548067565244,0.02759536779720203,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,779.292851032938,0.054451622869223046,0.03978344758252825,0.02685865275438193,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,776.20331534065,0.05339926049462572,0.0388427714820376,0.02496421684798624,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,811.551728489925,0.05473444787576778,0.03976997794130802,0.024708045169572035,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,813.768784662469,0.05383581737009586,0.040603665801285736,0.022232780948558028,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,847.270414640729,0.05547335351871294,0.0417166484288379,0.022187251303288653,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,826.0423396233,0.05257210747908569,0.04271136929839846,0.020151793285652954,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,822.6193476395,0.05255989547916799,0.04118366198425234,0.019452279928312718,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,778.8957381834,0.04951517047300542,0.038179214517379184,0.019273647901630896,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,785.7179383139,0.04869897345640718,0.03752548987166866,0.018211530252674468,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,779.4997799931,0.048174787462269025,0.03617363435674282,0.016676110514913533,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,798.056956440374,0.0488980349159087,0.03728665030285027,0.015770167686132635,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2022-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,735.2648361674,0.04673663208712404,0.03213764748694901,0.014408367266789356,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,751.445271844778,0.0472674509330347,0.03334520452881831,0.01494121841298612,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,742.333706007406,0.04608348923160709,0.03415209128202231,0.013974289736287438,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,749.515054627657,0.04612915700532337,0.03331730864574191,0.014537943556006332,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,770.3336320969,0.04705862760867659,0.033388617297801744,0.01402210840856498,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,710.0090410587001,0.04133224858703417,0.033347449709846884,0.01247647776599587,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,730.4014928720719,0.04080917411899324,0.03394198216267967,0.0121288820439852,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,738.3827549866,0.041334712103110204,0.03395368798513537,0.012294379017835451,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,777.259825679403,0.04339333561980033,0.033995615772457,0.01219578807368999,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,770.1549409926,0.04270403959711251,0.03200639107571095,0.0115070352428715,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,666.6311036300001,0.03484610159031102,0.029956900788338278,0.01087520222463718,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,662.6868136225,0.03391896207655223,0.029524851575466207,0.010735648007699496,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2023-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,614.2149087573,0.02995920027758203,0.028367610466870478,0.01086748133692253,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,645.3585808577,0.031090460130000955,0.029215288712304364,0.010739463280168669,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,672.807544765459,0.03310550123719045,0.02944454187221513,0.01069072025200547,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,660.20954244928,0.03161738952438149,0.028540206058409224,0.010369136829743763,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,671.2165838189,0.030380698674760953,0.03027540189367263,0.010405472550139478,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,690.3040973731,0.030164815920092247,0.031155149642843095,0.010645179728920276,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,672.8145148095,0.029283625000822495,0.029650733546924022,0.010242884231363941,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,687.7023791372,0.029479423989131823,0.030836580906672923,0.009501370153391949,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,706.62908687468,0.02977632720954537,0.031768514170454495,0.008857822986203629,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,707.32870994778,0.029692612485353896,0.029889103302093177,0.00864646814757191,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,703.256118778928,0.028211764967969895,0.03093063853280149,0.008272139164380212,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,714.898534914052,0.028200932391352292,0.03226994890129216,0.008443255323279582,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2024-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,655.092674620092,0.025345544572066735,0.029165986257746097,0.008007899051264885,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,690.630794054872,0.026474366456501724,0.031246942512784617,0.007989764885118551,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,698.550947048066,0.025881745098039692,0.0330208651316283,0.007952146211205836,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,709.908961116714,0.02619401941086914,0.032959521580074605,0.008097181485422331,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,734.106470751084,0.026279897340687006,0.035029349475626345,0.00789938582488162,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,776.394574629036,0.027864649809140392,0.035985346016887916,0.008177769966534536,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,787.023606217644,0.028448957826569466,0.0360734254729259,0.007947895539495828,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,791.8726391665,0.029685026857107905,0.03461847926849115,0.007499416885220485,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,791.20507881074,0.02977631106003964,0.0340335038199371,0.007030738208411078,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,797.6176827883,0.029003792671706174,0.0342162296411492,0.007154635819880655,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,805.25845640246,0.028635658751142212,0.0352850147398569,0.007059260081432944,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,817.973418711,0.02833039683006816,0.036382364776165715,0.006834102947456899,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2025-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,762.568024455882,0.026625398793873753,0.03256281713425748,0.0063293918738535696,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
2026-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,793.995461241192,0.02890955127355525,0.03223782872966525,0.006307981149767876,Azerbaijan,AZE,CBAR statistical bulletin table 5.6,2026-03-23 03:03:39.892223+00:00
